"Saison" "matchday" "home_team" "away_team" "Tore_heim" "Tore_aus"
"1" 1 9 16 1 1
"2" 1 6 33 0 0
"3" 1 50 49 0 4
"4" 1 42 51 5 1
"5" 1 84 7 1 1
"6" 1 44 43 1 0
"7" 1 8 15 5 2
"8" 1 24 54 1 0
"9" 1 2 27 3 1
"10" 2 54 42 4 0
"11" 2 51 6 1 1
"12" 2 43 24 2 0
"13" 2 27 44 1 2
"14" 2 33 8 2 1
"15" 2 15 50 0 0
"16" 2 7 9 4 0
"17" 2 49 84 2 2
"18" 2 16 2 3 2
"19" 3 8 49 3 2
"20" 3 50 7 1 4
"21" 3 24 51 3 0
"22" 3 42 33 2 3
"23" 3 2 43 2 1
"24" 3 6 15 1 1
"25" 3 16 27 5 0
"26" 3 84 9 2 1
"27" 3 44 54 1 0
"28" 4 51 44 0 2
"29" 4 49 24 0 2
"30" 4 33 2 1 1
"31" 4 84 50 0 0
"32" 4 7 8 3 4
"33" 4 54 16 1 4
"34" 4 15 42 1 1
"35" 4 43 27 1 3
"36" 4 9 6 3 1
"37" 5 27 51 2 1
"38" 5 6 49 0 0
"39" 5 50 9 1 0
"40" 5 24 33 0 0
"41" 5 16 43 7 0
"42" 5 2 54 1 1
"43" 5 42 7 1 3
"44" 5 8 84 4 2
"45" 5 44 15 1 1
"46" 6 51 16 1 3
"47" 6 49 44 3 1
"48" 6 84 6 1 0
"49" 6 7 24 1 0
"50" 6 15 2 1 1
"51" 6 54 27 6 0
"52" 6 9 8 1 0
"53" 6 43 42 0 0
"54" 6 33 50 3 0
"55" 7 2 51 3 1
"56" 7 27 33 1 2
"57" 7 42 49 3 1
"58" 7 44 9 1 3
"59" 7 8 50 2 1
"60" 7 54 43 3 0
"61" 7 24 84 1 2
"62" 7 16 15 1 2
"63" 7 6 7 0 4
"64" 8 49 2 5 0
"65" 8 8 24 3 1
"66" 8 51 43 0 1
"67" 8 84 44 2 0
"68" 8 33 54 1 1
"69" 8 15 27 1 2
"70" 8 9 42 1 1
"71" 8 7 16 1 5
"72" 8 50 6 1 1
"73" 9 24 50 4 1
"74" 9 54 51 4 1
"75" 9 6 8 1 3
"76" 9 16 49 4 0
"77" 9 44 33 0 2
"78" 9 27 9 1 0
"79" 9 2 7 2 2
"80" 9 42 84 1 1
"81" 9 43 15 2 0
"82" 10 49 27 2 0
"83" 10 6 24 1 2
"84" 10 33 51 3 1
"85" 10 84 16 2 5
"86" 10 7 44 0 2
"87" 10 8 2 2 0
"88" 10 15 54 1 1
"89" 10 50 42 4 1
"90" 10 9 43 2 1
"91" 11 24 9 1 1
"92" 11 43 49 2 0
"93" 11 42 6 0 1
"94" 11 44 50 1 0
"95" 11 16 33 2 1
"96" 11 54 8 2 1
"97" 11 27 7 1 1
"98" 11 2 84 2 2
"99" 11 51 15 1 2
"100" 12 50 16 2 1
"101" 12 7 43 1 0
"102" 12 9 51 4 0
"103" 12 6 44 2 2
"104" 12 49 54 2 0
"105" 12 8 42 2 1
"106" 12 84 27 2 0
"107" 12 33 15 0 2
"108" 12 24 2 1 1
"109" 13 42 24 2 1
"110" 13 51 49 3 6
"111" 13 43 33 2 1
"112" 13 2 9 4 1
"113" 13 27 50 1 1
"114" 13 44 8 1 3
"115" 13 16 6 1 0
"116" 13 15 84 2 1
"117" 13 54 7 1 3
"118" 14 84 54 2 1
"119" 14 49 15 3 2
"120" 14 50 43 2 3
"121" 14 6 2 1 1
"122" 14 7 51 7 1
"123" 14 24 44 3 0
"124" 14 8 16 2 3
"125" 14 42 27 2 2
"126" 14 9 33 0 6
"127" 15 2 50 0 2
"128" 15 43 8 1 1
"129" 15 27 6 2 0
"130" 15 33 49 1 2
"131" 15 54 9 4 1
"132" 15 16 24 2 1
"133" 15 44 42 0 2
"134" 15 51 84 1 0
"135" 15 15 7 5 2
"136" 16 42 16 0 5
"137" 16 6 43 2 0
"138" 16 24 27 4 0
"139" 16 44 2 2 3
"140" 16 9 15 2 3
"141" 16 84 33 0 0
"142" 16 7 49 2 2
"143" 16 50 54 1 1
"144" 16 8 51 3 0
"145" 17 16 44 4 0
"146" 17 43 84 0 1
"147" 17 49 9 1 1
"148" 17 15 24 1 0
"149" 17 54 6 0 2
"150" 17 51 50 0 0
"151" 17 27 8 3 2
"152" 17 33 7 2 1
"153" 17 2 42 1 0
"154" 18 16 9 1 2
"155" 18 54 24 4 1
"156" 18 7 84 2 2
"157" 18 33 6 2 2
"158" 18 49 50 3 1
"159" 18 51 42 0 0
"160" 18 15 8 2 3
"161" 18 27 2 1 3
"162" 18 43 44 1 0
"163" 19 8 33 5 1
"164" 19 2 16 0 4
"165" 19 24 43 1 0
"166" 19 42 54 0 2
"167" 19 84 49 2 1
"168" 19 44 27 0 0
"169" 19 9 7 1 2
"170" 19 50 15 1 1
"171" 19 6 51 2 2
"172" 20 15 6 0 2
"173" 20 51 24 2 1
"174" 20 49 8 2 3
"175" 20 33 42 2 0
"176" 20 9 84 1 2
"177" 20 7 50 5 1
"178" 20 43 2 2 2
"179" 20 54 44 2 0
"180" 20 27 16 1 4
"181" 21 27 43 1 1
"182" 21 2 33 1 0
"183" 21 6 9 1 1
"184" 21 50 84 2 0
"185" 21 24 49 2 0
"186" 21 42 15 2 3
"187" 21 16 54 3 2
"188" 21 8 7 2 5
"189" 21 44 51 4 1
"190" 22 54 2 3 1
"191" 22 9 50 3 2
"192" 22 43 16 4 2
"193" 22 51 27 2 1
"194" 22 15 44 0 2
"195" 22 33 24 1 1
"196" 22 7 42 4 2
"197" 22 84 8 0 3
"198" 22 49 6 2 0
"199" 23 24 7 3 2
"200" 23 44 49 1 2
"201" 23 42 43 1 1
"202" 23 50 33 1 2
"203" 23 6 84 1 0
"204" 23 2 15 1 0
"205" 23 16 51 4 1
"206" 23 8 9 6 0
"207" 23 27 54 1 6
"208" 24 49 42 0 0
"209" 24 51 2 0 0
"210" 24 33 27 0 0
"211" 24 9 44 0 0
"212" 24 84 24 0 0
"213" 24 7 6 0 0
"214" 24 15 16 0 0
"215" 24 43 54 0 0
"216" 24 50 8 0 0
"217" 25 6 50 0 0
"218" 25 43 51 0 0
"219" 25 44 84 0 0
"220" 25 54 33 0 0
"221" 25 16 7 0 0
"222" 25 27 15 0 0
"223" 25 42 9 0 0
"224" 25 24 8 0 0
"225" 25 2 49 0 0
"226" 26 50 24 0 0
"227" 26 49 16 0 0
"228" 26 33 44 0 0
"229" 26 84 42 0 0
"230" 26 9 27 0 0
"231" 26 7 2 0 0
"232" 26 15 43 0 0
"233" 26 8 6 0 0
"234" 26 51 54 0 0
"235" 27 43 9 0 0
"236" 27 51 33 0 0
"237" 27 27 49 0 0
"238" 27 24 6 0 0
"239" 27 42 50 0 0
"240" 27 16 84 0 0
"241" 27 54 15 0 0
"242" 27 44 7 0 0
"243" 27 2 8 0 0
"244" 28 6 42 0 0
"245" 28 50 44 0 0
"246" 28 49 43 0 0
"247" 28 33 16 0 0
"248" 28 9 24 0 0
"249" 28 84 2 0 0
"250" 28 7 27 0 0
"251" 28 15 51 0 0
"252" 28 8 54 0 0
"253" 29 51 9 0 0
"254" 29 43 7 0 0
"255" 29 2 24 0 0
"256" 29 27 84 0 0
"257" 29 42 8 0 0
"258" 29 15 33 0 0
"259" 29 44 6 0 0
"260" 29 54 49 0 0
"261" 29 16 50 0 0
"262" 30 6 16 0 0
"263" 30 50 27 0 0
"264" 30 24 42 0 0
"265" 30 49 51 0 0
"266" 30 33 43 0 0
"267" 30 9 2 0 0
"268" 30 84 15 0 0
"269" 30 7 54 0 0
"270" 30 8 44 0 0
"271" 31 51 7 0 0
"272" 31 43 50 0 0
"273" 31 2 6 0 0
"274" 31 27 42 0 0
"275" 31 33 9 0 0
"276" 31 15 49 0 0
"277" 31 44 24 0 0
"278" 31 54 84 0 0
"279" 31 16 8 0 0
"280" 32 6 27 0 0
"281" 32 50 2 0 0
"282" 32 24 16 0 0
"283" 32 49 33 0 0
"284" 32 42 44 0 0
"285" 32 9 54 0 0
"286" 32 84 51 0 0
"287" 32 7 15 0 0
"288" 32 8 43 0 0
"289" 33 51 8 0 0
"290" 33 43 6 0 0
"291" 33 2 44 0 0
"292" 33 27 24 0 0
"293" 33 49 7 0 0
"294" 33 33 84 0 0
"295" 33 15 9 0 0
"296" 33 54 50 0 0
"297" 33 16 42 0 0
"298" 34 50 51 0 0
"299" 34 24 15 0 0
"300" 34 42 2 0 0
"301" 34 9 49 0 0
"302" 34 84 43 0 0
"303" 34 7 33 0 0
"304" 34 44 16 0 0
"305" 34 8 27 0 0
"306" 34 6 54 0 0
