"Saison" "Spieltag" "Heimteam" "Auswartsteam" "Tore_heim" "Tore_aus" "Chancen_heim" "Chancen_aus"
"1" 2020 1 16 20 8 0 12 0
"2" 2020 1 44 7 0 0 1 3
"3" 2020 1 54 24 3 1 12 2
"4" 2020 1 8 9 3 0 2 0
"5" 2020 1 42 33 2 3 3 3
"6" 2020 1 47 27 1 4 4 3
"7" 2020 1 2 49 2 3 2 3
"8" 2020 1 84 50 1 3 1 2
"9" 2020 1 15 6 1 1 8 4
"10" 2020 2 33 44 1 1 4 3
"11" 2020 2 49 16 4 1 7 3
"12" 2020 2 20 47 1 3 5 6
"13" 2020 2 6 2 1 0 4 3
"14" 2020 2 50 8 2 0 2 5
"15" 2020 2 24 42 1 4 2 7
"16" 2020 2 7 54 1 1 4 2
"17" 2020 2 9 84 1 1 5 2
"18" 2020 2 27 15 1 3 5 3
"19" 2020 3 16 27 4 3 10 5
"20" 2020 3 44 50 0 0 4 1
"21" 2020 3 54 20 4 0 6 1
"22" 2020 3 42 7 1 1 2 4
"23" 2020 3 47 6 1 0 3 4
"24" 2020 3 2 9 1 3 3 10
"25" 2020 3 15 49 2 1 6 3
"26" 2020 3 8 33 4 0 7 2
"27" 2020 3 84 24 4 0 6 0
"28" 2020 4 20 84 1 1 4 7
"29" 2020 4 2 15 1 1 4 3
"30" 2020 4 9 44 1 1 2 5
"31" 2020 4 6 16 1 4 6 8
"32" 2020 4 50 54 0 2 2 5
"33" 2020 4 24 7 0 1 0 4
"34" 2020 4 27 42 0 2 4 4
"35" 2020 4 33 47 1 1 4 3
"36" 2020 4 49 8 0 1 3 4
"37" 2020 5 7 50 3 1 8 3
"38" 2020 5 47 49 1 1 2 7
"39" 2020 5 44 6 2 1 5 1
"40" 2020 5 8 20 3 0 8 0
"41" 2020 5 24 9 2 3 7 9
"42" 2020 5 84 33 1 1 6 4
"43" 2020 5 54 27 2 1 8 2
"44" 2020 5 16 15 5 0 9 3
"45" 2020 5 42 2 1 1 4 4
"46" 2020 6 49 84 1 3 3 6
"47" 2020 6 27 44 1 1 5 4
"48" 2020 6 33 7 2 4 5 8
"49" 2020 6 9 54 1 0 4 4
"50" 2020 6 50 24 3 1 6 4
"51" 2020 6 2 16 1 2 2 4
"52" 2020 6 15 47 1 1 6 3
"53" 2020 6 6 8 0 2 1 10
"54" 2020 6 20 42 1 1 2 8
"55" 2020 7 7 9 4 3 4 6
"56" 2020 7 44 49 2 1 8 4
"57" 2020 7 8 16 2 3 5 7
"58" 2020 7 42 15 2 2 5 7
"59" 2020 7 50 27 0 3 2 6
"60" 2020 7 24 20 2 2 7 3
"61" 2020 7 84 6 5 0 10 2
"62" 2020 7 54 33 3 0 6 3
"63" 2020 7 47 2 1 1 3 1
"64" 2020 8 2 84 1 2 3 2
"65" 2020 8 33 24 1 3 5 7
"66" 2020 8 27 8 2 5 4 8
"67" 2020 8 15 54 1 1 2 3
"68" 2020 8 6 7 1 2 1 3
"69" 2020 8 20 44 0 2 7 10
"70" 2020 8 49 42 3 3 8 10
"71" 2020 8 9 50 1 1 4 5
"72" 2020 8 16 47 1 1 4 6
"73" 2020 9 24 49 1 1 4 4
"74" 2020 9 7 27 0 0 2 3
"75" 2020 9 9 20 4 1 8 2
"76" 2020 9 42 16 1 3 5 6
"77" 2020 9 50 33 1 1 2 5
"78" 2020 9 84 15 3 3 6 4
"79" 2020 9 54 6 2 1 5 2
"80" 2020 9 8 2 1 2 3 4
"81" 2020 9 44 47 5 3 6 4
"82" 2020 10 49 50 3 1 7 2
"83" 2020 10 20 7 0 3 3 10
"84" 2020 10 47 42 1 2 2 7
"85" 2020 10 16 54 3 3 6 4
"86" 2020 10 6 24 2 1 5 4
"87" 2020 10 2 44 2 2 4 6
"88" 2020 10 15 8 1 1 1 5
"89" 2020 10 33 9 2 2 7 4
"90" 2020 10 27 84 3 1 7 1
"91" 2020 11 7 49 4 1 8 3
"92" 2020 11 50 20 2 2 4 4
"93" 2020 11 84 16 1 1 5 5
"94" 2020 11 24 2 0 1 4 6
"95" 2020 11 33 6 2 0 7 2
"96" 2020 11 9 27 1 1 4 3
"97" 2020 11 54 47 2 0 8 2
"98" 2020 11 8 42 1 5 4 10
"99" 2020 11 44 15 2 1 7 4
"100" 2020 12 6 50 0 1 2 4
"101" 2020 12 2 7 0 4 0 6
"102" 2020 12 49 54 0 1 4 2
"103" 2020 12 16 44 2 1 3 3
"104" 2020 12 20 33 0 2 2 5
"105" 2020 12 42 84 2 2 5 4
"106" 2020 12 47 8 1 2 3 7
"107" 2020 12 27 24 0 0 1 0
"108" 2020 12 15 9 3 3 5 4
"109" 2020 13 44 42 1 0 5 3
"110" 2020 13 33 27 4 1 7 3
"111" 2020 13 7 16 1 2 3 3
"112" 2020 13 50 15 0 2 4 6
"113" 2020 13 24 47 0 1 1 5
"114" 2020 13 20 6 0 1 3 3
"115" 2020 13 9 49 1 2 5 5
"116" 2020 13 54 2 0 0 6 0
"117" 2020 13 84 8 2 1 5 4
"118" 2020 14 16 24 5 2 0 0
"119" 2020 14 8 44 2 0 0 0
"120" 2020 14 42 54 0 1 0 0
"121" 2020 14 27 20 3 0 0 0
